metric,value
points,1001
mean_abs_mag_diff,0.01919136792745974
median_abs_mag_diff,0.0073628664632903185
max_abs_mag_diff,0.3142454511692564
max_abs_mag_diff_freq_ghz,22.974
mean_complex_abs_diff,0.029021536707777497
jump_correlation,0.8586894320768076
orig_top_jump_mid_ghz,8.295
orig_top_jump,0.33022205947918926
repeat_jump_at_orig_top,0.25334492693786026

rank,left_ghz,right_ghz,mid_ghz,orig_mag_jump,repeat_mag_jump
1,8.286,8.304,8.295,0.33022205947918926,0.25334492693786026
2,7.9799999999999995,7.997999999999999,7.988999999999999,0.3101700625176558,0.3547683465595213
3,9.366,9.384,9.375,0.22356330912434735,0.23535212254847448
4,7.962,7.9799999999999995,7.971,0.21976160596464006,0.16053063290457592
5,9.384,9.402,9.393,0.19873228743033358,0.1938415251848158
6,9.834,9.852,9.843,0.1979445791190263,0.19007951252343833
7,8.304,8.322,8.312999999999999,0.1971115111480325,0.06151554926060976
8,20.418,20.436,20.427,0.18567334774517824,0.0958492157568272
9,21.75,21.768,21.759,0.17745944980210127,0.1468613343549729
10,22.272,22.29,22.281,0.17547700171936803,0.16794519795535134
11,10.734,10.751999999999999,10.742999999999999,0.1718033727812557,0.17992341790702437
12,22.002,22.02,22.011,0.16618653215795073,0.009882465094061654
13,14.783999999999999,14.802,14.793,0.1657581678312519,0.130445503631692
14,9.852,9.87,9.861,0.16360138489539572,0.1470610272355377
15,19.77,19.787999999999997,19.778999999999996,0.1607168632348488,0.15016218558538919
16,9.347999999999999,9.366,9.357,0.16053929994258986,0.18601377454628854
17,19.752,19.77,19.761,0.15695190282931132,0.15046282549850504
18,20.472,20.49,20.481,0.15677686961337237,0.10328457519447484
19,14.585999999999999,14.604,14.594999999999999,0.14855058218573278,0.132555147323251
20,14.568,14.585999999999999,14.576999999999998,0.14541220016293366,0.14461568372965977
